job_title,company,company_rating,location,job_text,date
Data Management Analyst,Leonardo DRS,3.7 out of 5 from 475 employee ratings,"Arlington, VA 22202","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center']",2020-12-08 14:32:12
Reporting and Data Analyst,Transurban Limited,N/A,"Alexandria, VA 22312","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Operational performance', 'Compliance reporting obligations', 'Customer behavior analytics', 'Accounting and financial reporting', 'Ad hoc reporting as required', 'Perform daily account management of transponder business accounts (e.g. E-ZPass), which funds GoToll customer transactions', 'Adjust account replenishment rules and requirements based on customer behavior', 'Coordinate with GoToll team to understand and prepare for external factors that will influence business account funding needs', 'Act as point of contact for external business account inquiries', 'Investigate any anomalies or unusual trends in the business accounts', 'Support GoToll customer service to solve customer billing inquiries', 'Advise on GoToll customer service billing & refunding processes', 'Ensure all interoperability contractual obligations are adhered to', 'Daily monitoring of GoToll bank account to ensure adequate funding, efficient processes and reporting as necessary', 'Provide GoToll financial reports to the accounting team as part of month-end accounting activities', 'Act as main point of contact for the GoToll bank account and liaise between GoToll team and Finance team on any finance-related GoToll issues', 'Own the GoToll financial model which includes any necessary updates, changes and analysis', 'What can Transurban offer you? (besides working with top industry talent!)', 'Flexible workplace arrangements', 'Employee recognition programs', 'Generous paid time off plan', 'Competitive compensation and benefits', 'Parental leave (up to 16 weeks)', '401k / profit sharing', 'Class pass and virtual access to gyms', 'On site gym and monthly personal trainer visits', 'Free employee parking', 'Tuition reimbursement programs']",2020-12-08 14:32:12
Senior Data Analyst,Capitaltechsolutions Inc,N/A,"Washington, DC 20002","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', '8 hour shift', 'Temporarily due to COVID-19']",2020-12-08 14:32:12
Business Intel Analyst I,Navy Federal Credit Union,"4 out of 5 from 1,464 employee ratings","Vienna, VA 22180","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'FORTUNE 100 Best Companies to Work For®', 'Computerworld® Best Places to Work in IT', 'FORTUNE® Best Workplaces for Millennials', 'Forbes® America’s Best Employers', 'Evaluate operational efficiency and effectiveness', 'Perform qualitative and quantitative analysis relating to operational functions, workflow, processes, and other business related issues', 'Collaborate with functional areas to develop and maintain performance metrics, measurements, methods and targets', 'Obtain quantitative and qualitative data of business processes to analyze, determine and promote data driven decisions', 'Identify and assess business strategies and opportunities; develop appropriate analytical approaches', 'Collect and analyze data; synthesize results of analyses, develop and make recommendations and alternatives based on the full spectrum of internal/external considerations', 'Build new and/or modify existing database/data warehouse/data mart and business intelligence solutions to meet business and system requirements', 'Use data warehousing/business intelligence toolsets to gather, store, and provide access to data in assist management', 'Collaborate with business units and senior management to conduct needs assessment to support organization strategies, tactics, and learning solutions that support business unit objectives', 'Identify areas of improvement; determine solutions; implement enhancements/changes to improve operations, standards and results', 'Collaborate with management to establish objectives, standards, and strategies for delivering updates and changes to reporting and analytical procedures', 'Provide guidance and advice to management on the most effective and efficient use of resources to obtain measurable process improvements', 'Compile, research and analyze trends in support of projects and initiatives', 'Ensure the implementation of new and enhanced processes', 'Identify and assess business strategies and opportunities; develop appropriate analytical approaches', 'Performs other duties as assigned', 'Bachelor’s Degree in a related field, or the equivalent combination of training, education and experience', 'Significant experience in the application of statistical methods, mathematical techniques, forecasting, cost-benefit analysis and related analytical tools', 'Advanced skill interpreting, extrapolating and interpolating data for statistical research and modeling', 'Advanced skill interpreting and synthesizing large amounts of information', 'Significant experience in problem resolution including determining root cause, scope and scale of issues', 'Advanced skill analyzing statistics and reports to determine business performance and trends', 'Extensive experience that demonstrates the ability to research, compile, and document data, business processes, and workflow', 'Significant experience in market/consumer research, project management, and analysis in support of strategic planning initiatives', 'Advanced skill identifying and analyzing business requirements and recommending solutions', 'Significant experience in managing cross-functional, multi-dimensional teams and projects of the highest complexity which have business risk and impact', 'Significant experience in managing multiple priorities independently and/or in a team environment to achieve goals', 'Advanced skill in programming languages', 'Advanced skill resolving conflicting requests and meeting changing requirements', 'Advanced skill presenting findings, conclusions, alternatives and information clearly and concisely', 'Significant experience in demonstrating thought-leadership, initiative-taking, decision-making and creativity solving business problems', 'Advanced skill maintaining accuracy with attention to detail and meeting deadlines', 'Advanced research, analytical, and problem solving skills', 'Advanced verbal and written communication skills', 'Advanced database and presentation software skills', 'Advanced word processing and spreadsheet software skills', 'Desired - Master’s Degree in a related field, or the equivalent combination of training, education and experience', 'Desired - Significant knowledge of project lifecycles and management methodologies', 'Desired - Working knowledge of Navy Federal Human Resources policies, procedures, and programs', 'Desired - Working knowledge of object oriented principles', 'Due to COVID-19 and social distancing, this position will be temporarily working from home with plans to return to campus at the desired location listed once Navy Federal is back to normal operations. The specific logistics for returning to campus will be determined at a future date by individual leadership.']",2020-12-08 14:32:12
Early career data scientist / analyst / statistical geneticist,Data Tecnica,N/A,"Glen Echo, MD","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center']",2020-12-08 14:32:12
Research Data Analyst,Nueducation Inc - Technical Services,N/A,"Washington, DC","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Candidate must be data-focused and have strong attention to detail', 'Data Entry with some analytical skills', 'Have at least one-year minimum data entry experience', 'Experience with Excel, Google Drive, G Drive Office Suite, and overall Office Suite knowledge is a must', 'Must be able to follow detailed process-oriented work and have the ability to adapt to changes quickly', 'Must be capable of handling multiple tasks at any given time', 'Great communications skills and be able to reply to any inquiries quickly', 'Technical background is a plus', 'Multiple locations', 'Yes']",2020-12-08 14:32:12
Data Analyst Intern (Spring 2021),Showwcase,N/A,"San Francisco, CA 94117","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', ""Bachelor's (Preferred)SQL: 1 year (Preferred)"", 'Work collaboratively, and in a dynamic fast-paced startup environment.', 'Own delivery of analytics projects, ensuring that projects are delivered on-time, within the scope', 'Set business metrics that measure the health of our business and product', 'Extract insights from Google Analytics to understand customer usage', 'Extract insights from Mixpanel to understand customer usage', 'Develop strategies to collect information on user demographics', 'Conduct competitor analysis, and provide the product team with a personal recommendation', 'Develop dashboards and frameworks to monitor business and product performance', 'Identify sources of input data and acquire them (surveys, articles, physical documents, PDFs, online web forms)', 'Familiar with SQL, Python, or R', 'Strong Microsoft Excel or Google Sheets', 'Proficient with Google Analytics', 'You are passionate about analytics and data science', 'Ability to learn quickly and have high attention to detail', 'Excellent communication skills and enjoy working cross-functionally', 'Bonus: Experience with marketing analytics', 'Bonus: Tableau or Google Data Studio', 'Passion for project-based work', 'Monday to Friday', ""Bachelor's (Preferred)"", 'SQL: 1 year (Preferred)', 'Fully Remote', 'https://www.showwcase.com']",2020-12-08 14:32:12
Data Analyst,CODICE,3.3 out of 5 from 34 employee ratings,"Washington, DC 20005","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Analyze results using statistical techniques to provide or write reports using statistical techniques to write program reports.', 'Develop and implement data collection systems including other strategies that optimize statistical efficiency with good data quality.', 'Shall acquire data from primary or secondary data sources with a view to maintaining databases.', 'Identify, analyze and interpret trends, patterns and performance indicators to locate and clarify any code problems that shall develop.', 'Filter and clean computer or system reports, ensure that printouts are legible always and shall work collaboratively with program managers, evaluators and quality assurance team to ensure and enhance performance.']",2020-12-08 14:32:12
Data Analyst,Sports Medicine Research and Testing Laboratory,N/A,"South Jordan, UT 84095","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Maintain, update, and enhance the LIMS system running on an Oracle Database.', 'Design and implement LIMS system integration with other operational and business systems (lab instrument data, accounting, client FTP sites, shipping/receiving, etc.).', 'Conduct reporting and business intelligence activities from the LIMS via online dashboards, Actuate Report Designer, web portals and other automated reporting system', 'Identify information system needs', 'Establish priorities for system maintenance and upgrades', 'Oracle Database Administration and Reporting', 'Scripting/Programming (PL/SQL, PowerShell, etc.)', 'Base knowledge of Networks, Windows 10 Operating Systems and MS Office Software tools', 'Experience with LIMS software', 'Communication with non-IT personnel, including SMRTL/SDTL lab technicians and external clients', 'Horizon LIMS experience', 'Experience working for an analytical laboratory and familiarity with the process flow involved in sample testing', '401(k)', '401(k) matching', 'Dental insurance', 'Disability insurance', 'Flexible spending account', 'Health insurance', 'Life insurance', 'Paid time off', 'Tuition reimbursement', 'Vision insurance', '8 hour shift', 'Monday to Friday', 'Weekends', 'Bonus pay', 'One location', 'Detail-oriented -- quality and precision-focused', 'Stable -- traditional, stable, strong processes', 'Team-oriented -- cooperative and collaborative', 'www.smrtl.org', 'Only full-time employees eligible', 'No']",2020-12-08 14:32:12
Immunization Data Analyst,Intellibee Inc,N/A,"Des Moines, IA","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Experience:Moderate to expert understanding of data systems, 8 years (Required) Coding in Python, 8 years (Required) Developing data for analysis, 8 years (Required)Strong organizational skills including attention, 8 years (Required)Proficient in Microsoft Excel, 8 years (Required)', 'Success in this role is contingent on script writing to support the specialized data management, scripting knowledge using Python is needed; an expert level experience with Excel for setting up the reports and to utilize the script outputs as data.', 'This person needs to have extensive experience with Pivot Charts and Tables, charting, formulas and/or macros and conditional formatting would also be necessary. Ability in developing reports and making updates or changes such as adding columns, updating, or creating complex cell formulas to link data between sheets, or creating visuals to display data and trends.', 'This person will need to learn the applications, including managing the setup of individual users and provider sites. Experience using other software applications/databases (Immunization Registry Information System -IRIS, Google Sheets) to obtain data to complete the setup of facilities in VAMS. The individual will utilize VAMS functionality to monitor individual clinic and aggregate data to include vaccine inventory, vaccine doses administered, and patient eligibility,', 'Moderate to expert understanding of data systems, data integrity, and data validation – 8 years', 'Experience in developing data for analysis 8 years', 'Experience with Coding in Python 8 years', 'Proficient in Microsoft Excel with the ability to do advanced data manipulation - 8 years', 'Strong organizational skills including attention to detail and multi-tasking skills 8 years', 'Excellent Communications Skills', 'Required 8 Years Moderate to expert understanding of data systems, data integrity, and data validation', 'Required 8 Years Proficient in Microsoft Excel with the ability to do advanced data manipulation.', 'Required 8 Years Experience with Coding in Python', 'Required 8 Years Experience in developing data for analysis', 'Required 8 Years Excellent Communications Skills', 'Required 8 Years Strong organizational skills including attention to detail and multi-tasking skills', '8 hour shift', 'Moderate to expert understanding of data systems: 8 years (Required)', 'Coding in Python: 8 years (Required)', 'Developing data for analysis: 8 years (Required)', 'Strong organizational skills including attention: 8 years (Required)', 'Proficient in Microsoft Excel: 8 years (Required)']",2020-12-08 14:32:12
