job_title,company,location,date_posted,applicants,job_text,seniority_level,employment_type,job_function,industries,date_scraped
Software Engineer,ClearedJobs.Net,"Annapolis, MD",9 hours ago,Be among the first 25 applicants,"['', 'Serve as team lead at the level appropriate to the software development process being used on any particular project', 'Design and code new software or modify existing software to add new features', 'Design or implement complex database or data repository interfaces/queries', 'Clearance', 'External Referral Bonus', 'Requisition Category', '4-8 years experience as a SWE, in programs and contracts of similar scope, type, and complexity is required.', 'Integrate existing software into new or modified systems or operating environments (U) Develop simple data queries for existing or proposed databases or data repositories (U) Write or review software and system documentation', 'Four (4) years of additional SWE experience on projects with similar software processes may be substituted for a bachelor’s degree.', 'Shift', 'Assist with developing and executing test procedures for software components', 'Job Family', 'Modify existing software to correct errors, to adapt to new hardware, or to improve its performance', 'Description', 'An active TS/SCI with a polygraph is required in order to be considered for this position.', 'Develop or implement algorithms to meet or exceed system performance and functional standards', 'Scheduled Weekly Hours', 'Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design', 'Debug existing software and correct defects', 'Develop software solutions by analyzing system performance standards, confer with users or system engineers; analyze systems flow, data usage and work processes; and investigate problem areas', 'Bachelor’s degree in Computer Science or related discipline from an accredited college or university is required.', 'Analyze user requirements to derive software design and performance requirementsDebug existing software and correct defectsProvide recommendations for improving documentation and software development process standardsDesign and code new software or modify existing software to add new featuresIntegrate existing software into new or modified systems or operating environments (U) Develop simple data queries for existing or proposed databases or data repositories (U) Write or review software and system documentationServe as team lead at the level appropriate to the software development process being used on any particular projectDesign or implement complex database or data repository interfaces/queriesDevelop or implement algorithms to meet or exceed system performance and functional standardsAssist with developing and executing test procedures for software componentsDevelop software solutions by analyzing system performance standards, confer with users or system engineers; analyze systems flow, data usage and work processes; and investigate problem areasModify existing software to correct errors, to adapt to new hardware, or to improve its performanceDesign, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design', 'Analyze user requirements to derive software design and performance requirements', 'Provide recommendations for improving documentation and software development process standards', 'Job Description:', 'Potential For Telework', 'Clearance Level Required', 'Travel', 'Basic Qualifications', 'The Software Engineer (SWE) Shall Possess The Following Capabilities', '4-8 years experience as a SWE, in programs and contracts of similar scope, type, and complexity is required.Bachelor’s degree in Computer Science or related discipline from an accredited college or university is required.Four (4) years of additional SWE experience on projects with similar software processes may be substituted for a bachelor’s degree.']",Entry level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
Senior Data Software Engineer,VincentBenjamin,"Costa Mesa, CA",13 hours ago,Be among the first 25 applicants,"['Qualifications:', ' Responsibilities:• Hands-On contribution as part of a software engineering team focused on building and delivering highly secure, efficient and robust data processing solutions in an aggressive timeframe.• Develop and deploy data centric systems and pipelines on an AWS cloud-based platform• Partner with data Scientists to support and improve model development pipeline• Support a holistic and end to end approach to data, including querying, aggregation, deep analysis, visualization and AI/ML models• Integrate 3rd Party or Internal API and file-based services utilizing CSV, JSON, or XML data• Designing, developing and maintaining solutions to: source, integrate, transform, cleanse, normalize and expose / present data to various constituents / consumer groups such as other engineering groups, data science or other end users• Without fail deliver and maintain accurate, complete and current documentation• Own deliverables from ideation to production operationalization• Collaborate with data science, product and business teams to deliver superior functionalities• Diligently observe and maintain Standards for Regulatory Compliance and Information Security• Work closely with other teams to extract, transform and load data from wide variety of data sources, including in-house databases`Qualifications:• B.S. degree in Computer Science, Information Systems, Engineering or related discipline• Currently collaborating as a hands-on team member developing significant commercial software• 10+ years of software development experience building and testing applications in Java, Scala, and/or Python, including at least 2 years of experience leading development teams• 5+ years of experience in Postgres, Python, ETL technologies (Informatica, Talend, Tibco, etc)• 2+ years of experience building data pipelines• Current cloud technology experience, preferably including Docker/Kubernetes/OpenShift• Proven proficiency in building data processing systems in Java and Python, along with a willingness to learn new languages• Recent hands-on Experience supporting data science teams or supporting AI/ML based systems• Experience handling and processing sensitive data such as PII• A strong proven hands-on proficiency in SQL and NoSQL based data access and management• Experience working cross functionally with other teams outside of engineering• Knowledgeable and experienced with software and system patterns and their application in prior works• Demonstrable familiarity with CI/CD process, testing frameworks and practices• Extensive experience gathering and assessing specifications and requirements• Comfortable in a dynamic environment, with ability to adapt to various technologies and simultaneously work on multiple projectsAdditional Preferred Experience• Extensive experience building systems supporting financial services businesses• Hands-on experience with Snowflake, as well as experience with Spark, Airflow, Nifi, or HDFS.• Experience supporting systems leveraging with Text Analytics and NLP (natural language processing) techniques• Ability to initiate and drive projects from ideation to implementation• Understanding of current trends in AI/ML based system development• Knowledge and/or use of FDX, OFX, and/or FIX• Security and privacy compliance (GPDR, CCPA, ISO 27001, PCI, HIPAA, etc.) experience', 'Responsibilities:', ' ', 'This a 12 months+ contract opportunity! It is currently remote but will eventually be onsite in Costa Mesa Ca. All candidates must be local. All candidates must be Greencard holders or US Citizen. ', 'Greencard holders or US Citizen.', 'Additional Preferred Experience']",Mid-Senior level,Contract,Engineering,Banking,2020-11-03 08:56:07
Sr. Software Engineer (Big Data) - Fully Remote,Cypress HCM,San Francisco Bay Area,12 hours ago,35 applicants,"['', 'Good understanding of Agile Software Development methodologies ', '\xa0', 'Maintain understanding of latest cloud technologies and tools and leverage them to improve existing products and services. ', 'Excellent communication skills (both written and verbal) ', ' ', 'Design and ship high volume of elegant code with foresight to avoid performance, scalability, usability, maintainability, availability and testability issues. ', 'Experience in the Big Data technologies (Hadoop, M/R, HDFS, Pig, Hive, Presto, etc.) ', 'Lead the technical design, implementation, and deployment of software solutions for Big Data storage in the cloud Coordinate and lead cross-functional teams, ensuring that projects are successfully executed meeting LinkedIn’s standards for quality software engineering Design and ship high volume of elegant code with foresight to avoid performance, scalability, usability, maintainability, availability and testability issues. Maintain understanding of latest cloud technologies and tools and leverage them to improve existing products and services. Identify opportunities within the team for potential leverage and reuse by developing libraries, APIs, and shared services Contribute towards the definition of product and technical roadmaps ', 'Strong understanding of Computer Science fundamentals ', 'Desired Skills and Experience ', 'We are looking for a Senior Software Engineer to join its Big Data Platform Storage team. We develop and operate mission critical storage services and applications that are used by our Employees worldwide for Big Data Analytics. ', 'Sr. Software Engineer', 'Experience developing for and in the cloud (especially Azure) is a plus ', 'Responsibilities ', 'Skills: Java, Python, Linux/Bash, SQL, Git, Scrum, Hadoop', 'Strong understanding of architectural models and technology stack used for developing highly scalable and highly available distributed systems ', ""4+ years of relevant work experience, including hands-on technical leadership Proven track record of developing large-scale highly available services and systems in Java Strong understanding of Computer Science fundamentals Strong understanding of architectural models and technology stack used for developing highly scalable and highly available distributed systems Excellent communication skills (both written and verbal) Good understanding of Agile Software Development methodologies Working experience in the development as well as consumption of Web Services APIs (JSON / XML / RPC) Working experience of build systems, databases, and Linux-based infrastructures Bachelor's Degree in Computer Science or a related field Experience in the Big Data technologies (Hadoop, M/R, HDFS, Pig, Hive, Presto, etc.) Experience developing for and in the cloud (especially Azure) is a plus Skills: Java, Python, Linux/Bash, SQL, Git, Scrum, Hadoop"", 'Working experience of build systems, databases, and Linux-based infrastructures ', 'Lead the technical design, implementation, and deployment of software solutions for Big Data storage in the cloud ', 'Contribute towards the definition of product and technical roadmaps ', 'Proven track record of developing large-scale highly available services and systems in Java ', 'Desired Skills and Experience', 'Responsibilities', 'Sr. Software Engineer\xa0 ', ""Bachelor's Degree in Computer Science or a related field "", '4+ years of relevant work experience, including hands-on technical leadership ', 'Job Description', 'Coordinate and lead cross-functional teams, ensuring that projects are successfully executed meeting LinkedIn’s standards for quality software engineering ', ':', 'Working experience in the development as well as consumption of Web Services APIs (JSON / XML / RPC) ', 'Identify opportunities within the team for potential leverage and reuse by developing libraries, APIs, and shared services ', 'Job Description: ']",Associate,Contract,Project Management,Internet,2020-11-03 08:56:07
Software Engineer,N/A,United States,14 hours ago,69 applicants,"['', 'What is the role?', 'You have full-stack software engineering experienceYou have 3-5 years of experienceYou have strong experience with JavaScript and JavaScript frameworks such as typescript and ReactYou care about building clear, maintainable codeYou have been key member of teams with a track record of building and operating successful products and platformsYou enjoy sports, pop culture, and live eventsAbout our Platform: Tally’s is an evolving consumer-facing platform that also leverages 3rd-party data partners and services. It is built on: node, react, typescript, postgres hosted on the AWS platform.', 'We have set out to do great things - and we need the best team to accomplish that. The best team to us will reflect the diversity of the sports fans and other audiences we are serving. To us a diverse, inclusive - and equitable - environment is closely linked to the success of our vision.', 'Develop an understanding of our system infrastructure', 'About our Platform: Tally’s is an evolving consumer-facing platform that also leverages 3rd-party data partners and services. It is built on: node, react, typescript, postgres hosted on the AWS platform.', 'Design and implement significant continuous integration and deployment practices', 'Participate in technical decisions for the Tally Engineering team', ""You're great for this role because:"", 'Design and implement technical architecture improvements', 'Tally Technology Group is a sports tech company and leading provider of predictive gaming solutions. Our mission is to find new ways for sports teams to engage with their fans and to create experiences that bring fans closer to their teams.\xa0', 'Work with engineering leadership and the other engineers to refine the Tally product, processes, and team practices', 'Our vision is to build a second screen experience for sports and other live events that allows teams, etc. to build a closer relationship with fans and to find ways to monetize those relationships - be it through sponsorships, advertising or partnership with sport books.\xa0', '\u200d', 'Within your first three months, you will:', 'You have been key member of teams with a track record of building and operating successful products and platforms', 'Develop significant new functionality for our back-end and/or front-end services', 'You have 3-5 years of experience', 'Spend time with other engineers as well as with the business side in order to understand our platform, current initiatives, goals, and challenges, as well as to understand the business we are in.', 'Within your first nine months, you will:', 'Develop a deep understanding of the business environment and strategy', 'As a Senior Software Engineer (full time), you will be a key player in developing and supporting our core product that delivers prediction games to sports fans world-wide. You will collaborate with other team members on developing new product features and will work with our game operators to ensure the game can be delivered to thousands of fans daily. You will play an integral role of shaping the future of our product.', 'You enjoy sports, pop culture, and live events', 'Who are we?', 'Within your first month, you will:', 'Participate in technical decisions for the Tally Engineering teamDesign and implement technical architecture improvementsDesign and implement significant continuous integration and deployment practices', 'Spend time with other engineers as well as with the business side in order to understand our platform, current initiatives, goals, and challenges, as well as to understand the business we are in.Begin implementing features from our backlog and improving software quality to familiarize yourself with our platform', 'You have full-stack software engineering experience', 'You have strong experience with JavaScript and JavaScript frameworks such as typescript and React', 'You care about building clear, maintainable code', 'Work with engineering leadership and the other engineers to refine the Tally product, processes, and team practicesDevelop significant new functionality for our back-end and/or front-end servicesDevelop a deep understanding of the business environment and strategyDevelop an understanding of our system infrastructure', 'Tally is a startup founded by Super Bowl Champion Russell Wilson and global tech leaders that is on an aggressive growth path and is looking to expand its engineering team. Our team works globally and you will be able to work remotely.', 'Begin implementing features from our backlog and improving software quality to familiarize yourself with our platform']",Associate,Full-time,Engineering,Sports,2020-11-03 08:56:07
Senior Software Engineer : Big Data Storage,Conviva,"Foster City, CA",12 hours ago,Be among the first 25 applicants,"['', 'Preferred: experience working with remote teams', 'Design and implement ETL pipelines by using one or many of the open source frameworks', 'Have you streamed a program on Disney+, caught the latest binge-worthy series on Hulu, or tuned in for NFL highlights on social media? If the answer is yes, you have already benefitted from Conviva’s technology.', 'Experience in data analysis and modeling', 'Conviva is the leader in streaming media intelligence, powered by its real-time platform. More than 250 industry leaders and brands – including CBS, CCTV, Cirque Du Soleil, DAZN, Disney+, HBO, Hulu, Sky, Sling TV, TED, Univision, and WarnerMedia – rely on Conviva to maximize their consumer engagement, deliver the quality experiences viewers expect and drive revenue growth. With a global footprint of more than 500 million unique viewers watching 150 billion streams per year across 3 billion applications streaming on devices, Conviva offers streaming providers unmatched scale for continuous video measurement, intelligence and benchmarking across every stream, every screen, every second. Conviva is privately held and headquartered in Silicon Valley, California, with offices around the world. For more information, please visit us at\xa0www.conviva.com.', 'What you get to do:', 'Provide positive culture influence over other team members with code quality, initiatives and execution', 'BS or above in CS or related fieldStrong knowledge of CS fundamentals, data structures and algorithms5+ years of experience in Java, Scala, Python, and/or C++Technical expertise in one or more big data technologies, preferably one or more of distributed storage solutions (e.g. Druid, HBase, BigQuery, Spark, Hadoop, Flink, Akka Stream, etc.)Strong desire to work in a rapidly growing company and make is a successExperience in data analysis and modelingExperience in performance tuning, analysis over distributed systemsExperience building massively scalable data infrastructure using commercial and open-source toolsHave passion and enthusiasm for big data technologies as well as building cutting edge solutionsPreferred: experience working with remote teamsPreferred: Experience with SaaSPreferred: open source contributor', 'What do you bring to the role', 'Solve engineering challenges in cost reduction, reliability, scalability and flexibility', 'Preferred: open source contributor', 'Design and implement query execution interfaces surrounding one or several big data storage systems', 'Strong desire to work in a rapidly growing company and make is a success', 'Technical expertise in one or more big data technologies, preferably one or more of distributed storage solutions (e.g. Druid, HBase, BigQuery, Spark, Hadoop, Flink, Akka Stream, etc.)', 'Strong knowledge of CS fundamentals, data structures and algorithms', 'Experience building massively scalable data infrastructure using commercial and open-source tools', '5+ years of experience in Java, Scala, Python, and/or C++', 'Evaluate and design new storage related solutions to support evolving product use cases', 'Design and implement ETL pipelines by using one or many of the open source frameworksDesign and implement query execution interfaces surrounding one or several big data storage systemsEvaluate and design new storage related solutions to support evolving product use casesSolve engineering challenges in cost reduction, reliability, scalability and flexibilityProvide positive culture influence over other team members with code quality, initiatives and execution', '.', 'Preferred: Experience with SaaS', 'Experience in performance tuning, analysis over distributed systems', 'At Conviva, we create the technologies and standards driving industry transformation and streaming media growth worldwide. It’s not about the data, it’s about what you do with it. As the leader in global streaming media intelligence, Conviva measures in excess of 500 million unique viewers watching 150 billion streams per year with 1.5 trillion real-time transactions per day across more than 180 countries. Our platform and products are designed to deliver the real-time, cross-screen, integrated insights our customers need to understand their business and focus on what matters. Join us as we make streaming better.', 'BS or above in CS or related field', 'Conviva is the leader in streaming media intelligence, powered by its real-time platform. More than 250 industry leaders and brands – including CBS, CCTV, Cirque Du Soleil, DAZN, Disney+, HBO, Hulu, Sky, Sling TV, TED, Univision, and WarnerMedia – rely on Conviva to maximize their consumer engagement, deliver the quality experiences viewers expect and drive revenue growth. With a global footprint of more than 500 million unique viewers watching 150 billion streams per year across 3 billion applications streaming on devices, Conviva offers streaming providers unmatched scale for continuous video measurement, intelligence and benchmarking across every stream, every screen, every second. Conviva is privately held and headquartered in Silicon Valley, California, with offices around the world. For more information, please visit us at\xa0', 'Senior Software Engineer', 'Have passion and enthusiasm for big data technologies as well as building cutting edge solutions']",Mid-Senior level,Full-time,Engineering,Internet,2020-11-03 08:56:07
Software Engineer - SaaS & Consulting,Converge - Automating Marketing Reporting,United States,14 hours ago,50 applicants,"['', 'If you want to work with a tight-knit team of sharp technologists to leverage your talents and grow your skills, this is the role for you.', 'If you want to the long-term upside of an equity stake in a scalable business with the short-term upside of profit-sharing, this is the role for you.', 'The developer in this role will contribute to both our SaaS product as well as client-facing Services projects.', 'Company Description', 'Qualifications', 'Converge is a dynamic Marketing Reporting Automation Software Company in Atlanta, funded by Mark Cuban, that has navigated to profitability and is hiring for growth.', 'We are seeking Full Stack Software Developers to work on our Marketing Reporting Automation Platform and a variety of Products for an intriguing range of clients.', ""Converge is conveniently located next to Georgia Tech's campus at Tech Square, but we are currently operating almost entirely as a remote team for the convenience and safety of our team."", 'We automate the collection and visualization of social media, digital, and offline marketing data, saving our clients time, increasing their accuracy and job satisfaction, and adding tremendous efficiency to the client reporting process.', 'This is a unique opportunity to work alongside an experienced team that excels at building Software as a Service (SaaS) products.', 'If you are interested in the mix of building a scalable Software-as-a-Service (SAAS) product and consulting for clients (no travel), this is the role for you.', 'We are hiring a Software Engineer to help accelerate our growth.', 'This is a challenging and varied technical role. Experience developing web applications in Ruby on Rails is ideal, though the role also requires a voracious appetite to learn and apply new skills. You should be skilled at building web-based software or mobile apps, and excel at learning new languages and frameworks.', 'Converge is a Marketing Reporting Automation platform that helps Digital Marketing Agencies increase the profitability, accuracy, and efficiency of the reporting they provide to clients every month.']",Entry level,Full-time,Engineering,Marketing and Advertising,2020-11-03 08:56:07
Senior Software Engineer,"PayScale, Inc.","Seattle, WA",11 hours ago,Be among the first 25 applicants,"['', 'For ETL and pipelining we use Python, Team City, AWS Lambda and Fivetran.', 'Amazing Medical/Vision/Dental/Prescription coverage: 100% company-paid premiums for employees; 50% for eligible partners and dependents', 'Benefits & Perks – The Highlights', 'For data warehousing and reporting we use Snowflake, Spark, Tableau', '10 paid holidays', 'Long Term Disability, Short Term Disability, and Company-paid Life Insurance', 'You can work with a team of people on sophisticated problems which often times require independent research.', 'Onsite bike storage, lockers, showers, and clothes dryer', 'Strong skills in C#, Python, and .NET core.Experience with cloud providers (AWS, Azure) and cloud native solutions.Strong experience with both relational and document databases.', 'Company-hosted happy hours every Friday afternoon', 'Participate in a virtual hiring loop.', 'Skills', 'You have excellent problem solving and critical thinking skills.', 'C#, Python, Docker, Azure Web Apps, AWS ECS, Kubernetes, AKS, Dynamo, SQL, Elasticsearch, Postgres, and OctopusFor data warehousing and reporting we use Snowflake, Spark, TableauFor ETL and pipelining we use Python, Team City, AWS Lambda and Fivetran.', 'Tools', 'What We Do:', 'Over five years of proven experience in building and supporting both monolithic and micro services.', 'Hiring Process:', 'Speak with one of our friendly recruiters.', 'Flexible Paid Time Off policy', 'Partnering with our SRE and architectural teams to make modern architectural choices', 'Strong skills in C#, Python, and .NET core.', 'Speak with one of our friendly recruiters.Speak with the hiring manager, Joe.Work on a short, take-home, coding problem.Participate in a virtual hiring loop.', 'Competitive Maternity and Paternity Leave, and onsite Mother’s Room', 'Joining our scrum ceremoniesDesigning and building new micro-service, cloud native, systemsPartnering with our SRE and architectural teams to make modern architectural choicesSupporting our existing services and integrationsMentoring peers on best-practices', 'Company Description', 'Qualifications', 'First Year In Role', 'What You Do:', 'Speak with the hiring manager, Joe.', 'C#, Python, Docker, Azure Web Apps, AWS ECS, Kubernetes, AKS, Dynamo, SQL, Elasticsearch, Postgres, and Octopus', 'Day-in-the-Life: ', 'Ergo friendly chairs and sitting-standing desks', 'Mentoring peers on best-practices', 'Over five years of proven experience in building and supporting both monolithic and micro services.You can write testable code, embracing unit and integration test concepts.You can clearly explain technical concepts to developers and managers.You can work with a team of people on sophisticated problems which often times require independent research.You have excellent problem solving and critical thinking skills.', 'Designing and building new micro-service, cloud native, systems', 'Supporting our existing services and integrations', 'Month 12: You are fully integrated into the PayScale engineering organization and you are an authority in many of the projects, services, and processes that we own. You are mentoring others, proposing designs and offering innovative ways to deliver as a team.', 'Experience with cloud providers (AWS, Azure) and cloud native solutions.', 'Experience:', 'Joining our scrum ceremonies', 'Strong experience with both relational and document databases.', 'Flexible Paid Time Off policy10 paid holidaysAmazing Medical/Vision/Dental/Prescription coverage: 100% company-paid premiums for employees; 50% for eligible partners and dependentsFlexible Spending Account (FSA) options for pre-tax employee allocations towards: Medical, Dependent Care, Parking, and TransitLong Term Disability, Short Term Disability, and Company-paid Life InsuranceCompetitive Maternity and Paternity Leave, and onsite Mother’s Room401k which vests immediately, complete with company matchOnsite bike storage, lockers, showers, and clothes dryerErgo friendly chairs and sitting-standing desksCompany-hosted happy hours every Friday afternoonFido Fridays (our canine colleagues join us every Friday. WOOF!)', 'You can clearly explain technical concepts to developers and managers.', 'Job Description', 'You can write testable code, embracing unit and integration test concepts.', 'Work on a short, take-home, coding problem.', 'Meet Your Manager: ', 'Month 3: Partnering with your teammates, you have completed a couple handfuls of bug fixes and feature changes. Your changes will be live in production making an impact on our consumer users and company metrics.', 'Month 6: At this point, you have completely ramped up on the team with the ability to pick up any task on the sprint board and complete it on your own from start to finish.', 'Flexible Spending Account (FSA) options for pre-tax employee allocations towards: Medical, Dependent Care, Parking, and Transit', 'Month 3: Partnering with your teammates, you have completed a couple handfuls of bug fixes and feature changes. Your changes will be live in production making an impact on our consumer users and company metrics.Month 6: At this point, you have completely ramped up on the team with the ability to pick up any task on the sprint board and complete it on your own from start to finish.Month 12: You are fully integrated into the PayScale engineering organization and you are an authority in many of the projects, services, and processes that we own. You are mentoring others, proposing designs and offering innovative ways to deliver as a team.', '401k which vests immediately, complete with company match', 'Fido Fridays (our canine colleagues join us every Friday. WOOF!)']",Associate,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
Senior Data Engineer,Optello,"Los Angeles, CA",45 minutes ago,Be among the first 25 applicants,"['', 'Email Your Resume In Word To', 'Optello is proud to be an Equal Opportunity Employer', ' Flat organization with plenty of room for growth, challenge, & additional leadership & growth opportunities Remote work & flex environment Competitive compensation, full- medical, dental, vision & Pre-IPO equity - we very likely will go public or have a liquidity event within 3 years Opportunity to join a company that is making huge strides in the booming e-Legal space', ' You will be a important part of the engineering team, making a huge impact on our scalable, flagship AI-powered platform & products', ' Startup mentality is a must, startup experience a big plus!', ' Experience with data mining, machine learning, statistics, deep learning, NLP, etc are a plus', ' Flat organization with plenty of room for growth, challenge, & additional leadership & growth opportunities', ' Remote work & flex environment', ' Data expertise - identifying data patterns, troubleshoot data, etc.', ' Experience with PostgresSQL', ' 3-8 years of relevant professional experience plus BS/BA in Math, physics, stats, Computer Science, etc. (MS or PhD preferred)', ' Some experience with tech such as Docker, Kubernetes, Django would be great', "" Machine learning framework experience i.e.: sklearn, keras, nltk & the underlying algo's for NLP & Deep Learning are all helpful"", "" Our product is extremely data intensive - you'll be working with large amounts of data & the latest data technology to help build out our data stream and platform"", 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : JK-1609897 -- in the email subject line for your application to be considered.***', 'Your Right to Work', ' Must have Python programming & scripting experience', ' Working on tech like Docker, Python, Kubernetes, Django, Keras, nltk, sklearn, React.JS, deep learning, NLP', "" You will be a important part of the engineering team, making a huge impact on our scalable, flagship AI-powered platform & products Our product is extremely data intensive - you'll be working with large amounts of data & the latest data technology to help build out our data stream and platform Working on tech like Docker, Python, Kubernetes, Django, Keras, nltk, sklearn, React.JS, deep learning, NLP Data Visualization & computer vision projects Helping build best-in-class patented AI-fueled platform to change the legal industry!"", ' Opportunity to join a company that is making huge strides in the booming e-Legal space', ' Kaggle competition experience gives you a leg up', ' Data visualization would be great', "" 3-8 years of relevant professional experience plus BS/BA in Math, physics, stats, Computer Science, etc. (MS or PhD preferred) Must have Python programming & scripting experience Experience with either Airflow or Pandas & Django is a must Data expertise - identifying data patterns, troubleshoot data, etc. Experience with PostgresSQL Experience with data mining, machine learning, statistics, deep learning, NLP, etc are a plus Machine learning framework experience i.e.: sklearn, keras, nltk & the underlying algo's for NLP & Deep Learning are all helpful Data visualization would be great Some experience with tech such as Docker, Kubernetes, Django would be great Kaggle competition experience gives you a leg up Startup mentality is a must, startup experience a big plus!"", ' Helping build best-in-class patented AI-fueled platform to change the legal industry!', ' Experience with either Airflow or Pandas & Django is a must', ' Competitive compensation, full- medical, dental, vision & Pre-IPO equity - we very likely will go public or have a liquidity event within 3 years', ' Data Visualization & computer vision projects']",Associate,Full-time,Information Technology,Construction,2020-11-03 08:56:07
Senior Data Scientist,IronNet Cybersecurity,"McLean, VA",7 hours ago,Be among the first 25 applicants,"['', 'Analyze and report results from algorithms running in production.', 'Ability to visualize data and communicate results to non-technical audiences.', 'What’s your mission', 'Desire to be the best and prove it every day.', 'Demonstrable programming skills (such as in Python, Scala, or R)', 'Jack Keane ', 'More About IronNet', 'Explore and derive insights from large bodies of structured and unstructured data.', 'Competitive spirit; willingness and ability to “sell” your solution during collaborative team discussions.', 'Assist in writing thorough tests and documentation.', 'Commitment and aptitude to proactively find solutions to ambiguous opportunities.', 'You may be the person we need if your background aligns with the following . . .', 'Gartner’s “Market Guide for Network Detection and Response (NDR)', 'Design and develop new algorithms for detecting and prioritizing cyber threats in conjunction with the existing data science team.', 'Personal Profile', 'The Opportunity', 'Proven ability to apply mathematical, statistical, and machine learning techniques to deliver solutions to real-world problems.Experience training and tuning machine learning models.Demonstrable programming skills (such as in Python, Scala, or R)Experience working with large scale data platforms (Spark, SQL) and cloud-based computing (particularly AWS)Ability to visualize data and communicate results to non-technical audiences.Familiarity with the data used in cyber security, including common types of threats and attacks.', 'Co-CEO, General (Ret) Keith Alexander', 'Highly attentive to detail and a focus on improving the code base and quality of our tests.', 'Recognition & Awards', 'Assist in scaling detection capabilities to extremely large scale datasets using Spark and similar technologies.', 'Design and develop new algorithms for detecting and prioritizing cyber threats in conjunction with the existing data science team.Explore and derive insights from large bodies of structured and unstructured data.Create prototype machine learning models.Assist in scaling detection capabilities to extremely large scale datasets using Spark and similar technologies.Assist in writing thorough tests and documentation.Collaborate with multi-functional teams in various physical locations.In conjunction with the data engineering team, develop and write production quality software.Analyze and report results from algorithms running in production.', 'Collaborate with multi-functional teams in various physical locations.', 'Familiarity with the data used in cyber security, including common types of threats and attacks.', 'Proven ability to apply mathematical, statistical, and machine learning techniques to deliver solutions to real-world problems.', 'Follow us on LinkedIn', 'Passion for championing projects from concept to delivery to customer.Competitive spirit; willingness and ability to “sell” your solution during collaborative team discussions.Desire to be the best and prove it every day.Eagerness to learn and improve your own skills and to make those around you better.Highly attentive to detail and a focus on improving the code base and quality of our tests.Commitment and aptitude to proactively find solutions to ambiguous opportunities.Bring a unique skill set or elevate the results of the teams you are a part of.', 'Passion for championing projects from concept to delivery to customer.', 'Experience training and tuning machine learning models.', 'Jan Tighe', 'Bring a unique skill set or elevate the results of the teams you are a part of.', 'Eagerness to learn and improve your own skills and to make those around you better.', 'To be successful in this role, you must be able to . . .', 'Experience working with large scale data platforms (Spark, SQL) and cloud-based computing (particularly AWS)', 'Benefits Of Working At IronNet', 'Now Tech: Network Analytic and Visibility, Q2, 2020', 'In conjunction with the data engineering team, develop and write production quality software.', 'Description', 'Recent Awards', 'Create prototype machine learning models.']",Associate,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
(100% Remote) Senior Front End Software Engineer ,Avesta Computer Services,"Bethesda, MD",9 hours ago,54 applicants,"['• Produce code with an emphasis on readability, reliability, maintainability, and adherence to system-wide architectural principles.', '', '\xa0', 'country’s largest health system', 'JS libraries (BootStrap)', 'Duration: Fulltime', '• Develop software that meets the needs of hospital systems, health insurance payors, virtual care clinics, and clinical researchers, while maintaining compliance with all relevant regulations (HIPAA).', '• Participate in agile practices, including meetings, iterative development, estimations, and design sessions.', 'Location: Bethesda MD // 100% Remote', 'Roles & Responsibilities: ', '• Experience with web client technologies (JavaScript, HTML, CSS, AJAX, JSON', 'HTML and CSS\xa0', '• Design, implement, and unit test frontend application code.', '• Work closely with Product Managers to define feature specifications and build the next generation of products leveraging frameworks such as Ruby on Rails.', '(BootStrap)', '• Experience with source control\xa0(git) & SQL.', 'Role: Senior Front End Software Engineer', '• Self-motivated individual who can operate independently and with deep integrity.', '\xa0• 5+ years of development experience within a professional environment.', 'RESTFul', '• Experience with web client technologies (JavaScript, HTML, CSS, AJAX, JSON) and modern\xa0JS libraries (BootStrap)and frameworks.', 'Duration', '• Strong design and implementation work with\xa0APIs, SDKs, and libraries.', 'If interested, send your resume to anna@avestacs.com', '• Demonstrated foundation in Computer Science, with competencies in data structures, algorithms, and software design.', 'Our Client, which include some of the\xa0country’s largest health systems is looking for a\xa0\xa0Senior Front End Software Engineer\xa0.', 'Required Skills', '• Experience developing\xa0RESTFul-based\xa0web services.', 'web services.', 'Location', 'Senior Front End Software Engineer', 'Role', '• Experience with cross-browser\xa0HTML and CSS\xa0development and real-time application development.', ' (', '• Background in writing integration and automated tests to create well-tested code.']",Mid-Senior level,Full-time,Management,Information Technology and Services,2020-11-03 08:56:07
