job_title,company,company_rating,location,job_text,date
Sr. Data Engineer,Excella,4.4 out of 5 from 11 employee ratings,"Arlington, VA 22201","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', ""US work authorization (Required)Bachelor's (Preferred)Python: 2 years (Preferred)"", ""You'll work with great people who love what they do: our team includes published authors, certified trainers, and internationally renowned speakers."", 'We have a ""bring your own device"" workplace and will share the cost of a new computer of your choice -- Mac or PC. It\'s up to you.', ""We'll invest in your career by providing 3 days of paid professional development every year, including travel and registration fees to attend classes and conferences, in addition to tuition assistance for degrees and certifications."", 'Starting day one, every employee is bonus eligible and receives 15 days of paid vacation, 6 federal holidays, and 4 floating holidays.', 'You can bike, drive, or metro to work -- our commute reimbursement plan has you covered.', ""You'll have fun! We hold monthly social events all year long, including a summer event for you and your family."", 'Developing and managing data processes to ensure that data is available and usable', 'Creation and automation of data pipelines and platforms', 'Managing and monitoring data quality via automated testing frameworks (Data Driven Testing, TDD, etc.)', 'Working closely with Architects, Data Scientists, and DevOps to design, build, test, deliver, and maintain sustainable and highly scalable data solutions', 'Researching data acquisition and evaluating suitability', 'Integration of data management solutions into client environment', 'Actively managing risks to data and ensuring there is a data recovery plan', 'Building data repositories such as: data warehouses, data lakes, and operational data stores, etc.', '3+ years relevant professional work experience.', 'Experience and expertise in the following:', 'Creating robust and extensible data pipelines for production systems', 'Use of cloud platforms, preferably AWS', 'Creating secure, performant, and well-modeled data stores', 'Common analytical platform architectural patterns (Star Schema, data integration patterns, ABAC, data quality frameworks etc.)', 'Data lake design patterns and technology options (schema on read, metadata capture, search framework)', 'Use of scripting languages, preferably Python', 'Familiarity with NoSQL databases', 'Source code version control management using git', 'Project experience using the Scrum or Kanban framework.', 'Professionalism; to include written and oral communication – the ability to communicate collaboratively in front of a whiteboard. An ability to understand your audience and adjust your communication style to fit', 'Aptitude and desire for learning new technologies.', 'Technically savvy, entrepreneurial spirit who thrives in environments that reward self-initiative and resourcefulness.', '401(k)', '401(k) matching', 'Dental insurance', 'Disability insurance', 'Employee assistance program', 'Flexible schedule', 'Flexible spending account', 'Health insurance', 'Health savings account', 'Life insurance', 'Paid time off', 'Parental leave', 'Professional development assistance', 'Tuition reimbursement', 'Vision insurance', 'Monday to Friday', 'Bonus pay', ""Bachelor's (Preferred)"", 'Data Engineering: 3 years (Required)', 'Python: 2 years (Preferred)', 'People-oriented -- enjoys interacting with people and working on group projects', 'Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction', 'Innovative -- prefers working in unconventional ways or on tasks that require creativity', 'Innovative -- innovative and risk-taking', 'Outcome-oriented -- results-focused with strong performance culture', 'Team-oriented -- cooperative and collaborative', 'www.excella.com', 'Yes', 'Remote interview process', 'Virtual meetings']",2021-01-05 09:00:44
Data Engineer - Finance Technology,Amazon.com Services LLC,"3.6 out of 5 from 68,038 employee ratings","Arlington, VA","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Job', 'Company', '3+ years of experience as a Data Engineer or in a similar role', 'Experience with data modeling, data warehousing, and building ETL pipelines', 'Experience in SQL', 'Bachelor’s degree in Computer Science or related field', '5+ years relevant experience', '5+ years experience with SQL, SQL Tuning, Oracle, OLAP, Big Data Technologies', '5+ years experience developing end-to-end Business Intelligence solutions: data modeling, ETL and reporting', 'Experience with Java and experience with scripting languages like Perl, Python, Unix shell scripts,VBA and MS Excel', 'Proficiency with Linux and systems administration', 'Proven ability at looking at solutions in unconventional ways. Sees opportunities to innovate and can lead the way.', 'Top notch communication (verbal and written) and interpersonal skills to convey key insights from complex analysis in summarized business terms and an ability to effectively communicate with technical teams.', 'Ability to work with shifting deadlines in a fast paced environment.', 'Able to work in a diverse team', ""Bacheakor's degree in Information Systems or a related field."", 'Knowledge of Big Data Solutions. Experience with Hadoop, Hive or Pig.', 'Experience with Redshift and other AWS services.', 'Excellent communication (verbal and written) and interpersonal skills and an ability to effectively communicate with both business and technical teams.', 'Knowledge of a programming or scripting language (R, Python, Ruby, or JavaScript).', 'Experience with Java and Map Reduce frameworks such as Hive/Hadoop.', 'Strong organizational and multitasking skills with ability to balance competing priorities.', 'An ability to work in a fast-paced environment where continuous innovation is occurring and ambiguity is the norm.', 'Experience with Amazon Web Services']",2021-01-05 09:00:44
Data Center Engineer,LPC Commercial,N/A,"Tysons, VA","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', ""Hands-on electrical and mechanical equipment troubleshooting and operation. This equipment includes, but is not limited to, stand-by diesel generators, switchgear, UPS's, PDU's, AHU's, chillers, cooling towers, chemical treatment systems, pumps, motors, VFD's, and building automation systems.Perform maintenance tasks including filter changes, HVAC PMs, rack power installs, rack PDU, and rack ATS replacements"", 'Maintain heating equipment, chillers (air and/ or water cooled), DX units, pumps, cooling towers, fan coil units, VAV, and air distribution systems, etc.', 'Write MOP’s, IOP’S and using EOP’s.', 'Manage multiple projects simultaneously', 'Analyze and propose solutions with limited information', 'Interpret instructions furnished in written, oral, diagram or schedule form', 'Perform root cause analysis of equipment failures', 'Ensure all safety procedures are adhered to while performing work', 'Effectively respond to sensitive and complex issues', 'Create effective presentations and communicate with both internal and external customers', 'Respond immediately to emergency situations (fire, evacuation, equipment failure, etc.) and customer concerns', 'Monitor Energy Management System', 'One or more years of experience in the data centers environment or equivalent experience', 'Technical college degree, Military, or workplace equivalency (2+ years)', 'Electrical and Mechanical courses and hands on training.', 'Strong verbal and written communication skills Intermediate analytical and quantitative skills', 'Experience using Microsoft office tools like Excel, PowerPoint and Word to create presentations and reports', 'A demonstrated commitment to customer service for both coworkers and customers', 'Experience using Microsoft office tools like Excel, PowerPoint and Word to create presentations and reports', 'Three or more years of experience in the data centers environment or equivalent experience', 'Operating engineering licenses such as DC II, DC III', 'Stationary Engineering or Building Engineering License', 'Electrical or mechanical Journeyman License', 'CFC license', 'Strong attention to detail', 'Proficient with maintenance management software', 'Excellent understanding of various infrastructure redundancy configurations, and the related limitations of each', 'Knowledge of applicable laws and ordinances in performing data, communications and MEP projects', 'Experience working well under pressure with a proactive approach', 'Excellent attention to detail, strong organizational skills and a willingness to accept new ideas and procedures', '401(k)', 'Dental insurance', 'Health insurance', 'Paid time off', 'Vision insurance', '8 hour shift', 'No: Not providing sponsorship for this job', 'No']",2021-01-05 09:00:44
Data Engineer,NT Concepts,3.3 out of 5 from 73 employee ratings,"Herndon, VA 20171","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Assess, transform, organize, and optimize data for use by machine learning algorithms', 'Generating representative data sets for systems development and data science initiatives', 'Build data pipelines that enable data scientists and engineers and other stakeholders', 'TS/SCI clearance required', '4+ years of experience designing data models and data warehouses supporting analytics, using both relational and non-relational distributed data storage systems', 'Demonstrated experience in building and maintaining ETL pipelines. Bonus points for experience with Apache Beam', 'Demonstrated experience working with Synthetic Aperture Radar (SAR) data', 'Demonstrated experience with large-scale distributed processing', 'Experience building data pipelines in ML frameworks. Kubeflow experience is desired', 'Experience working in a fast-paced agile environment is a plus', 'Familiarity with machine and deep learning libraries such as Scikit-learn and PyTorch.', 'Experience in a high-level programing language, such as Java, Python or GoLang', 'Demonstrated proficiency with Git version control systems', 'Experience working in Linux environments', ""Meaningfully impact the company's growth, and share in the rewards accordingly"", 'Develop your own career path through our What’s Next program, which emphasizes person growth through training and certification', 'Work on programs of importance that directly impact National Security and the world', 'Work in a fun, “challenging yet rewarding” fast-paced environment', '401(k)', '401(k) matching', 'Dental insurance', 'Disability insurance', 'Employee assistance program', 'Flexible spending account', 'Health insurance', 'Life insurance', 'Paid time off', 'Professional development assistance', 'Referral program', 'Vision insurance', 'Monday to Friday', 'One location', 'No']",2021-01-05 09:00:44
Data Engineer,Excella,4.4 out of 5 from 11 employee ratings,"Arlington, VA 22201","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Developing and managing data processes to ensure that data is available and usable', 'Creation and automation of data pipelines and platforms', 'Managing and monitoring data quality via automated testing frameworks (Data Driven Testing, TDD, etc.)', 'Working closely with Architects, Data Scientists, and DevOps to design, build, test, deliver, and maintain sustainable and highly scalable data solutions', 'Researching data acquisition and evaluating suitability', 'Integration of data management solutions into client environment', 'Actively managing risks to data and ensuring there is a data recovery plan', 'Building data repositories such as: data warehouses, data lakes, and operational data stores, etc.', '3+ years relevant professional work experience.', 'Experience and expertise in the following:', 'Project experience using the Scrum or Kanban framework.', 'Professionalism; to include written and oral communication – the ability to communicate collaboratively in front of a whiteboard. An ability to understand your audience and adjust your communication style to fit', 'Aptitude and desire for learning new technologies.', 'Technically savvy, entrepreneurial spirit who thrives in environments that reward self-initiative and resourcefulness.', ""You'll work with great people who love what they do: our team includes published authors, certified trainers, and internationally renowned speakers."", 'We have a ""bring your own device"" workplace and will share the cost of a new computer of your choice - Mac or PC. It\'s up to you.', ""We'll invest in your career by providing 3 days of paid professional development every year, including travel and registration fees to attend classes and conferences, in addition to tuition assistance for degrees and certifications."", 'Starting day one, every employee is bonus eligible and receives 15 days of paid vacation, 6 federal holidays, and 4 floating holidays.', 'You can bike, drive, or metro to work - our commute reimbursement plan has you covered.', ""You'll have fun! We hold monthly social events all year long, including a summer event for you and your family.""]",2021-01-05 09:00:44
Research Data Analyst/Software Engineer,Neurogazer USA,N/A,"Baltimore, MD 21204","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', ""Education:Bachelor's (Required)"", 'Work authorization:United States (Required)', 'Health Insurance', 'Paid Time Off', 'Monday to Friday', ""Bachelor's (Required)"", 'United States (Required)', 'One location', 'Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction', 'Detail-oriented -- would rather focus on the details of work than the bigger picture', 'Achievement-oriented -- enjoys taking on challenges, even if they might fail', 'Autonomous/Independent -- enjoys working with little direction', 'Innovative -- prefers working in unconventional ways or on tasks that require creativity', 'High stress tolerance -- thrives in a high-pressure environment', 'Only full-time employees eligible']",2021-01-05 09:00:44
IT Specialist (Data Engineer),Government of the District of Columbia,3.6 out of 5 from 234 employee ratings,"Washington, DC 20024","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center']",2021-01-05 09:00:44
Senior Data Engineer,GITSUS,N/A,"Washington, DC","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', '8 hour shift', 'Yes']",2021-01-05 09:00:44
NETWORK ENGINEER I,Prince William County Public Schools,4 out of 5 from 343 employee ratings,"Prince William County, VA","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', 'Thorough knowledge of the operation of microcomputers including tablets, mobile devices and associated software.', 'Thorough knowledge of the methods, hardware, software, and practices of information technology.', 'Ability to take a leadership role in problem resolution and development of technical skills of the Information Technology Services staff.', 'Ability to read, write, and work from blueprints and specifications.', 'Ability to maintain adequate records of all work performed.', 'Skill in the use of hand tools, testing equipment, and materials.', 'Ability to comply with all safety rules and regulations established by Prince William County Schools.', 'Ability to troubleshoot and skilled in the diagnosis of problems relating to the operation of networked computer hardware/software systems.', 'Works collaboratively with all stake holders in providing a World-Class education.', 'Performs highly skilled work in the installation, repair, and maintenance of computer hardware and software systems.', 'Deploys software bundles and policies within the network.', 'Responds to emergency duty assignments when required by supervisor.', 'Implements the personal computer configuration standard needed to support the administrative and instructional requirements of all users.', 'Supports the PWC Schools standards for computer networked software and hardware.', 'Serves as resource person in a ""HELP DESK"" environment to assist users in problem solving and troubleshooting personal computer hardware and software issues.', 'Provides training to the Information Technology Services staff as well as the end users in the use of the networking software and hardware.', 'Performs other duties as assigned.']",2021-01-05 09:00:44
New Graduate Roles,Lynk,5 out of 5 from 4 employee ratings,"Falls Church, VA 22041","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Change country', 'Help Center', ""Completed at least a bachelor's degree (or better) in a STEM- related"", 'Strong interpersonal skills and ability to work effectively in a team environment, accomplishing tasks with limited resources at a rapid', 'Proficiency skill level using Windows and Linux OS, and proficiency with some other technical software package or programming', 'Hands-on experience with lab research, engineering project teams, or prior relevant internship or work']",2021-01-05 09:00:44
