job_title,company,company_rating,location,job_text,date
Data Engineer III,Navy Federal Credit Union,"4 out of 5 from 1,492 employee ratings","1,492 reviews","['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Job', 'Company', 'FORTUNE 100 Best Companies to Work For®', 'Computerworld® Best Places to Work in IT', 'FORTUNE® Best Workplaces for Millennials', 'Forbes® America’s Best Employers', 'Provide Business Intelligence (BI) and Data Warehousing (DW) solutions and support by leveraging project standards and leading analytics platforms', 'Evaluate and define functional requirements for BI and DW solutions', 'Define and build data integration processes to be used across the organization', 'Build channel contracts and data consumption patterns for stakeholders and management', 'Work directly with business leadership to understand data requirements; propose and develop solutions that enable effective decision-making and drives business objectives', 'Prepare advanced project implementation plans which highlight major milestones and deliverables, leveraging standard methods and work planning tools', 'Analyze and validate data sharing requirements within and outside data partners', 'Analyze and interpret collected data; spotting trends; writing reports and recommendations for internal or external clients', 'Recognize potential issues and risks during the analytics project implementation and suggest mitigation strategies', 'Coach and mentor project team members in carrying out analytics project implementation activities', 'Lead the preparation of high quality project deliverables that are valued by the business and present them in such a manner that they are easily understood by project stakeholders', 'Interpret data presented in models, charts, and tables and transform it into a format that is useful to the business and promotes effective decision making', 'Use statistical practices to analyze current and historical data to make predictions, identify risks, and opportunities enabling better decisions on planned/future events', 'Identify improvements to the way in which analytics services an entire function', 'Communicate and own the process of manipulating and merging large datasets', 'Expert and key point of contact between the data analyst/data scientist and the project/functional analytics leads', 'Apply engineering principles into the design and enhancement of new and existing data management systems', 'Ensure the security and integrity of system and product solutions including compliance with Navy Federal, industry engineering and Information Security principles and practices', 'Present clear, organized and concise information to all audiences through a variety of media to enable effective business decisions', 'Perform other duties as assigned', 'Master’s degree in Information Systems, Computer Science, Engineering, or related field, or the equivalent combination of education, training and experience', 'Expert skill in Microsoft Excel and Operation Data Integration (OLTP)', 'Advanced skill in Microsoft SharePoint, Microsoft Azure, Informatica, MS Office Products, SQL', 'Advanced skills in systems and application integration in a large distributed architecture environment', 'Expert skills in developing and operationalizing various data distribution patterns like, APIs, event based, pub/sub models', 'Expert skills in enterprise API management products, processes and capabilities', 'Proficient in Hadoop, Azure Data Catalog, Microsoft Power BI, Data Architecture, Apache Spark, Web Services, REST APIs, Event and Pub/Sub messaging architecture', 'Proficient in Mobile and Web application technologies', 'Novice skill level in Python, Agile Frameworks (SAFE), Microsoft Databricks, Snowflake, Azure Data Factory, HDInsight, Hive (Apache), Cognos', 'Knowledge of and the ability to perform basic statistical analysis such as measures of central tendency, normal distribution, variance, standard deviation, basic tests, correlation, and regression techniques', 'Ability to understand the business problem and determine what aspects of it require optimization; articulate those aspects in a clear and concise manner', 'Ability to define and analyze highly complex models that predict the probability of an outcome', 'Experienced in the use of ETL tools and techniques', 'Optimal understanding of SQL', 'Ability to understand other projects or functional areas in order to consolidate analytical needs and processes', 'Demonstrates change management and/or excellent communication skills', 'Experienced in sourcing, maintaining, and updating data', 'Understands data warehousing, data cleaning, data pipelines and other analytical techniques required for data usage', 'Demonstrates deep understanding of multiple data related concepts', 'Working knowledge of various data structures and the ability to extract data from various data sources', 'Understands the concepts and application of data mapping and building requirements', 'Understands data models, large datasets, business/technical requirements, BI tools, data warehousing, statistical programming languages and libraries', 'Demonstrates functional knowledge of data visualization tools such as Microsoft Power BI, Tableau', 'Working knowledge of various data structures and the ability to manipulate data within visualization tools', 'Ability to manipulate raw data into effective visualization dashboards', 'Ability to communicate end to end data outcomes visually', 'Skilled in managing the process between updating and maintaining data source systems and implementing data related requirements', 'Knowledge of Navy Federal Credit Union instructions, standards, and procedures', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
Data Engineer,McKenna Principals,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""Bachelor's (Preferred)"", '401(k)', '401(k) matching', 'Dental insurance', 'Health insurance', 'Paid time off', 'Referral program', '8 hour shift', 'Monday to Friday', ""Bachelor's (Preferred)"", 'More than 1 year', 'Likely', 'Yes', 'No: Not providing sponsorship for this job', 'A job for which military experienced candidates are encouraged to apply', 'A job for which all ages, including older job seekers, are encouraged to apply', 'A job for which people with disabilities are encouraged to apply', 'www.mckennaprincipals.com', 'Only full-time employees eligible', 'Temporarily due to COVID-19', 'Remote interview process', 'Virtual meetings', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
Data Engineer,ENTmatrix,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Temporarily due to COVID-19', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
Sr. Big Data Engineer,Valsatech Corp,4.6 out of 5 from 11 employee ratings,11 reviews,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Design and Develop Data Ingestion and Processing Code using Python/Pyspark/ Language R/Hive on the Cloudera CDH Platform.', 'Create and update Design Specs and reference Architecture documents to enable acceleration in solution development.', 'Cloudera Data Platform Innovating new ideas, researching related technology, developing new concepts, prototyping and delivering implementations', 'Participate in testing and peer code reviews to identify any bugs and ensure reusability of code.', 'Automate the deployment of the solutions by using Shell scripts/Python/Oozie.', 'Work with internal subject matter experts to define requirements for new demo environments', 'Collaborating with the Apache community on Hadoop and other related open source projects', 'Work with IT change Management group to promote the developed code/scripts from non-production to production environments.', 'Work with Architecture team (Application/Security/Infrastructure/Data) to get their approval on the designed solutions.', 'Programming Languages - Python, PySpark, Java, SQL, Shell Scripting, Sqoop', 'Big Data Tools - Spark, HDFS, Kafka, Hive, HBase', 'Databases - MySQL, PostgreSQL , SQL Server', 'Cloudera Technologies - Cloudera Data Platform & Cloudera Manager', 'Cloud Technologies - Amazon Web Services', 'OpenStack Other Software & Tools - Tableau, SAS, Docker, Kubernetes, GitHub', 'Unix/Linux expertise', '8 hour shift', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
Sr. Data Engineer,Excella,4.4 out of 5 from 11 employee ratings,11 reviews,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""US work authorization (Required)Bachelor's (Preferred)Python: 2 years (Preferred)"", ""You'll work with great people who love what they do: our team includes published authors, certified trainers, and internationally renowned speakers."", 'We have a ""bring your own device"" workplace and will share the cost of a new computer of your choice -- Mac or PC. It\'s up to you.', ""We'll invest in your career by providing 3 days of paid professional development every year, including travel and registration fees to attend classes and conferences, in addition to tuition assistance for degrees and certifications."", 'Starting day one, every employee is bonus eligible and receives 15 days of paid vacation, 6 federal holidays, and 4 floating holidays.', 'You can bike, drive, or metro to work -- our commute reimbursement plan has you covered.', ""You'll have fun! We hold monthly social events all year long, including a summer event for you and your family."", 'Developing and managing data processes to ensure that data is available and usable', 'Creation and automation of data pipelines and platforms', 'Managing and monitoring data quality via automated testing frameworks (Data Driven Testing, TDD, etc.)', 'Working closely with Architects, Data Scientists, and DevOps to design, build, test, deliver, and maintain sustainable and highly scalable data solutions', 'Researching data acquisition and evaluating suitability', 'Integration of data management solutions into client environment', 'Actively managing risks to data and ensuring there is a data recovery plan', 'Building data repositories such as: data warehouses, data lakes, and operational data stores, etc.', '3+ years relevant professional work experience.', 'Experience and expertise in the following:', 'Creating robust and extensible data pipelines for production systems', 'Use of cloud platforms, preferably AWS', 'Creating secure, performant, and well-modeled data stores', 'Common analytical platform architectural patterns (Star Schema, data integration patterns, ABAC, data quality frameworks etc.)', 'Data lake design patterns and technology options (schema on read, metadata capture, search framework)', 'Use of scripting languages, preferably Python', 'Familiarity with NoSQL databases', 'Source code version control management using git', 'Project experience using the Scrum or Kanban framework.', 'Professionalism; to include written and oral communication – the ability to communicate collaboratively in front of a whiteboard. An ability to understand your audience and adjust your communication style to fit', 'Aptitude and desire for learning new technologies.', 'Technically savvy, entrepreneurial spirit who thrives in environments that reward self-initiative and resourcefulness.', '401(k)', '401(k) matching', 'Dental insurance', 'Disability insurance', 'Employee assistance program', 'Flexible schedule', 'Flexible spending account', 'Health insurance', 'Health savings account', 'Life insurance', 'Paid time off', 'Parental leave', 'Professional development assistance', 'Tuition reimbursement', 'Vision insurance', 'Monday to Friday', 'Bonus pay', ""Bachelor's (Preferred)"", 'Data Engineering: 3 years (Required)', 'Python: 2 years (Preferred)', 'People-oriented -- enjoys interacting with people and working on group projects', 'Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction', 'Innovative -- prefers working in unconventional ways or on tasks that require creativity', 'Innovative -- innovative and risk-taking', 'Outcome-oriented -- results-focused with strong performance culture', 'Team-oriented -- cooperative and collaborative', 'www.excella.com', 'Yes', 'Remote interview process', 'Virtual meetings', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
New Graduate Roles,Lynk,5 out of 5 from 4 employee ratings,4 reviews,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""Completed at least a bachelor's degree (or better) in a STEM- related"", 'Strong interpersonal skills and ability to work effectively in a team environment, accomplishing tasks with limited resources at a rapid', 'Proficiency skill level using Windows and Linux OS, and proficiency with some other technical software package or programming', 'Hands-on experience with lab research, engineering project teams, or prior relevant internship or work', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
"Data Engineer, Product Analytics",Facebook,4.2 out of 5 from 603 employee ratings,603 reviews,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Manage data warehouse plans for a product or a group of products.', 'Interface with engineers, product managers and product analysts to understand data needs.', 'Build data expertise and own data quality for allocated areas of ownership.', 'Design, build and launch new data models in production.', 'Design, build and launch new data extraction, transformation and loading processes in production.', 'Support existing processes running in production.', 'Define and manage SLA for all data sets in allocated areas of ownership.', 'Work with data infrastructure to triage infra issues and drive to resolution.', '2+ years experience in the data warehouse space.', '2+ years experience in custom ETL design, implementation and maintenance.', '2+ years experience working with either a MapReduce or an MPP system.', '2+ years experience with object-oriented programming languages.', '2+ years experience with schema design and dimensional data modeling.', '2+ years experience in writing SQL statements.', 'Experience analyzing data to identify deliverables, gaps and inconsistencies.', 'Experience managing and communicating data warehouse plans to internal clients.', 'BS/BA in Technical Field, Computer Science or Mathematics.', 'Knowledge in Python or Java.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
Data Engineer with strong Java,IT Alliances Inc,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""Bachelor's (Preferred)SQL: 1 year (Preferred)Data Warehouse: 1 year (Preferred)"", '8 hour shift', 'Monday to Friday', ""Bachelor's (Preferred)"", 'SQL: 1 year (Preferred)', 'Data Warehouse: 1 year (Preferred)', 'Possible', 'Multiple locations', 'A job for which all ages, including older job seekers, are encouraged to apply', 'www.IT-Alliances.com', 'Waiting period may apply', 'Remote interview process', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
Data Engineer,Infinitive Inc,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Write effective, scalable code and be able to improve responsiveness and overall performance of the code', 'Support Data Warehouse development operations, Data Analytics and Visualizations development as well as developing reports and dashboards', 'Apply natural language processing, data mining techniques, statistical analysis, and machine learning integrated with our analytical and visualization tools.', 'Support Analytics and Business Intelligence development while providing development support to a team of data analysts.', 'Integrate user-facing elements into applications', 'Improve functionality of existing systems', '3+ years of experience developing with object-oriented programming concepts (Python, R)', '3+ years of experience working with distributed scalable Big Data storage, including AWS EMR, Spark, etc.', '3+ years of experience with data query and analysis using relational databases and query languages', 'Implementation knowledge of, or desire to learn AWS / Azure data science capabilities.', 'Ability to test and debug programs/tools/applications', 'Fluent in Python libraries for Data Analysis (Pandas, Numpy, etc.)', 'Experience with Open Source technologies such as Apache Tomcat and Web Server, Elasticsearch, etc.', 'Ability to maintain source code and utilize configuration management systems such as CodeFoundry or GitLab', 'Technical degree in computer science or related field (preferred)', 'Experience working in an Agile environment', 'Background in management consulting (preferred)', 'Desire to become an AWS Certified architect / engineer.', 'Excellent leadership, peer management, and communication skills', 'Have a Kick-Ass Attitude', 'Desire to Be Great and strive for continual growth', 'Strong analytical, conceptual, organizational, and problem-solving skills.', 'Ability to effectively interface with all levels of personnel and management.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
SAS Data Engineer,CareJourney,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Support and develop data processing pipelines in a SAS based environment.', 'Assist in building and maintaining SAS data models and pipeline workflows.', 'Build and maintain CareJourney’s data pipeline orchestration system.', 'Ensure the reliability and performance of computational and orchestration code.', 'Integrate data exports from SAS with external dbs, processes, and systems.', '3-6 years of experience working in at least two different positions in Data Engineering or related roles.', 'A degree in Computer Science, Data Engineering, or equivalent.', '3+ years experience with SQL, Snowflake a plus.', '2+ years experience with SAS.', '2+ years experience with Python.', 'Experience with ETL/ELT, data analytics, and building data pipelines.', 'Experience with data pipeline orchestration tools, Apache Airflow.', 'Experience working in an Agile environment.', 'Experience working in cloud environments, preferably AWS.', 'Experience with microservices and serverless technologies.', 'Experience with CI/CD systems and environments.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 13:07:57
