job_title,company,company_rating,location,job_text,date
Data Scientist,Blake Willson Group,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'successfully obtained your bachelor’s degree or above; and/or have equivalent years of work experience', 'Already gained 1+ years of experience in mathematics, economic modeling, statistics, or data analysis, preferably federal government related', 'Are committed to being industrious and independent', 'Describe yourself as a self-starter and possess a hunger to learn new information', 'Have a background in federal government data analytics and/or statistics', 'Are an Excel “whiz” who thrives in Visual Basic Applications (VBA)', 'May have experience coding and modeling with SAS (preferred), Stata, and/or R', 'Thrive as a consultant who operates on a dynamic, communicative team', 'offer full health and dental benefits, 401k, health subsidy, employee referral bonus, incentives for business development, and professional certification reimbursement & bonuses', 'hold close to our values of servant leadership, reliability, diversity, and integrity', 'are rapidly growing nationwide!', 'support clients in civilian agencies, DoD/IC, and law enforcement, among others', 'find ourselves on Microsoft Teams to celebrate, work, and gather', 'Create mathematical models, econometrics forecasting models', 'Develop, code, and run projects through Excel Visual Basic (front-end) and SAS (back-end)', 'Dive into huge datasets that you’ve collected, conduct data modeling, and analyze data for trends', 'Learn about the niche field of credit modeling from Subject Matter Experts', 'Perform information collection, analysis, and interpretation under the direction of senior staff', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-28 14:10:13
Data Scientist,Blake Willson Group,N/A,N/A,[],2021-01-28 14:10:13
Jr. Data Scientist,Cognowiz Solutions,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', '8 hour shift', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-28 14:10:13
Jr. Data Scientist,Cognowiz Solutions,N/A,N/A,[],2021-01-28 14:10:13
Internal Data Scientist,CG/LA Infrastructure Inc.,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', ""scripting language (Python, R, etc.) and Numpy, pandas, etc: 1 year (Required)working with relational databases and query development: 1 year (Required)Bachelor's (Preferred)"", 'Marketing', 'Reporting', 'Location', 'Interaction with:', 'Education/Experience', 'Character and Personality', 'Dental insurance', 'Health insurance', 'Paid time off', 'Vision insurance', '8 hour shift', 'Monday to Friday', ""Bachelor's (Preferred)"", 'scripting language (Python, R, etc.) and Numpy, pandas, etc: 1 year (Required)', 'working with relational databases and query development: 1 year (Required)', 'Detail-oriented -- quality and precision-focused', 'Innovative -- innovative and risk-taking', 'Outcome-oriented -- results-focused with strong performance culture', 'Stable -- traditional, stable, strong processes', 'Team-oriented -- cooperative and collaborative', 'Yes', 'Remote interview process', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-28 14:10:13
Early career data scientist / analyst / statistical geneticist,Data Tecnica,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-28 14:10:13
Data Scientist - Entry Level,Numerdox,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.', 'This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.', 'Primary job location is in Sacramento, but work-from-home option is available.', 'Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math)', 'Experience in R and/or Python is preferred', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-28 14:10:13
Data Scientist - Entry Level,Numerdox,N/A,N/A,[],2021-01-28 14:10:13
Data Scientist - Entry Level,Numerdox,N/A,N/A,[],2021-01-28 14:10:13
Data Scientist,Cognowiz LLC,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', '8 hour shift', 'No', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-28 14:10:13
Data Scientist,Cognowiz LLC,N/A,N/A,[],2021-01-28 14:10:13
Data Scientist,Cognowiz LLC,N/A,N/A,[],2021-01-28 14:10:13
Alteryx Specialist - Data Scientist,Data Meaning,4 out of 5 from 2 employee ratings,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'USA, Remote', 'Full-time W2 position, salary depends on experience', 'Follow consistent practices to ensure data integrity and deal with imperfections in data.', 'Effectively process structured and semi-structured/unstructured data; proficiently integrate varied datasets', 'Work cross-functionally with development and engineering teams', 'Analyze large amounts of information to discover trends and patterns, draw conclusions and gain actionable insights.', 'Build predictive models; propose solutions and strategies for business problems', 'Apply the appropriate machine learning algorithm to data problems (e.g. supervised vs. unsupervised machine learning, clustering, ensemble methods, etc.), validate model results.', 'Work closely with architecture and engineering team to deploy models; communicate results in a clear and non-technical manner.', 'Interact with senior management and effectively communicate technical information to numerous audiences (e.g. senior management, client community, peers and junior associates)', 'Address challenges to analytic processes and influence others to change their approach and work collectively to implement new tools/techniques', 'Gain support from related stakeholders for analytic solutions and champion data driven business decisions.', 'Apply appropriate statistical techniques to data exploration and model development/assessment', 'Communicate complex statistical concepts to non-technical audiences; maintain skills through continuing education.', 'Create meaningful data visualizations to communicate results and highlight business impact', 'Effectively collaborate with others to deliver efficient and high-quality code (Python or R)', 'Implement solid validation process to ensure consistency and minimize errors in code', 'Champion more efficient ways to produce code, maintain skills through continuing education; stay up to date on new technologies/ tools', 'Seamlessly transition between languages to apply the right approach to the problem.', 'Understanding of Big Data infrastructure – Hadoop, MapReduce and Spark', 'Bachelor’s degree in Computer Science, Math or Statistics is preferred', 'At least 4 years of professional experience in a data-related role', 'Strong hands-on experience with Alteryx Designer required, Server is a plus', 'Knowledge of Statistics and Statistical Modeling', 'Understanding of Machine Learning and Predictive Analytics', 'Data analysis programming languages – Python and R (at least one)', 'Database languages – SQL and NoSQL (desirable)', 'Data Vizualization – PowerBI or Tableau', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-28 14:10:13
Alteryx Specialist - Data Scientist,Data Meaning,N/A,N/A,[],2021-01-28 14:10:13
Alteryx Specialist - Data Scientist,Data Meaning,N/A,N/A,[],2021-01-28 14:10:13
