job_title,company,company_rating,location,job_text,date
Data Scientist,CompGain LLC,N/A,"Woodlawn, MD","['Experience translating high-level project requirements into technical tasks.', 'Data manipulation and data engineering experience involving structured and unstructured data.', 'Data manipulation expertise involving data extractions, data matching between multiple systems, transformations, cleansing, and loading.', 'Experience with big data and cloud platforms and toolset.', 'Ability to engineer and create complex research datasets by manipulating typically large volume transactional data for use by operations research analysts, economists and statisticians in advanced analytical research and studies.', 'Experience in developing predictive, prescriptive, optimization, and forecasting models, including the use of contemporary techniques such as support vector machines, neural networks, and gradient boosting.', 'Experience in interpreting results from statistical and mathematical models.', 'Experience in advance data visualizations and interpretation.', 'Required: Machine Learning, Predictive Modeling and Python experience', 'Preferred: Strong Natural Language Processing (NLP)', 'Preferred: Experience in SAS (preferred) and/or R for complex data manipulation, statistical analysis, and machine learning.', 'Experience with Forecasting, Time Series Analysis, statistical modeling, etc.', 'Experience with modern machine learning libraries, including Keras, TensorFlow, PyTorch, MXNet, or MADlib.', 'Required: SQL (preferable in distributed environment, e.g. Greenplum, SQL Server, Oracle).', 'Preferred but not Required: Experience with data visualization tools (e.g., Tableau, Bokeh, D3) or elastic stack (Kibana).', 'Experience using peer-collaboration tools, e.g., Confluence. (Preferred)', 'Experience using GIT or other version control systems.', 'Temporarily due to COVID-19']",2020-08-08 18:56:41
Phone Booking and Custom Service Rock Star Wanted,Bokeh Creatives,N/A,"El Dorado Hills, CA 95762","['Flexible Schedule', 'Day shift', 'Monday to Friday', 'Bonus Pay', 'sales: 2 years (Required)', 'One location', 'Fully Remote', '20-29', 'Dependable -- more reliable than spontaneous', 'People-oriented -- enjoys interacting with people and working on group projects', 'Achievement-oriented -- enjoys taking on challenges, even if they might fail', 'Autonomous/Independent -- enjoys working with little direction', 'https://bokehcreatives.com', 'Yes']",2020-08-08 18:56:41
Python Developer,Infotech Cogent,N/A,"Saline, MI","['Extensive experience coding in Python.', 'Data manipulation using pandas or similar.', 'Experience in version control system GIT.', 'Proficient in Microsoft Excel.', '4-year degree (or equivalent) in Engineering, Computer Science, or related field.', 'Experience working in a collaborative, fast-paced environment.', 'Dashboard creation using bokeh, power BI or similar.', 'Experience in creating user interfaces.', 'Experience coding in VBA.', 'Dashboard creation using bokeh, power BI: 1 year (Preferred)', 'Python: 4 years (Required)', 'VBA: 1 year (Required)']",2020-08-08 18:56:41
Rental Coordinator,Bokeh Rentals,N/A,"Los Angeles, CA 90016","['Monday to Friday', 'Commission Pay', 'www.bokehrentals.com', 'facebook.com/bokehrentals', 'No']",2020-08-08 18:56:41
Data Scientist,"CGI Group, Inc.",3.6 out of 5,"Baltimore, MD 21203","['Experience translating high-level project requirements into technical tasks.', 'Data manipulation and data engineering experience involving structured and unstructured data.', 'Data manipulation expertise involving data extractions, data matching between multiple systems, transformations, cleansing, and loading.', 'Experience with big data and cloud platforms and toolset.', 'Ability to engineer and create complex research datasets by manipulating typically large volume transactional data for use by operations research analysts, economists and statisticians in advanced analytical research and studies.', 'Experience in developing predictive, prescriptive, optimization, and forecasting models, including the use of contemporary techniques such as support vector machines, neural networks, and gradient boosting.', 'Experience in interpreting results from statistical and mathematical models.', 'Experience in advance data visualizations and interpretation.', ""Bachelor's degree and 7+ years of experience OR Master's degree and 3+ years of experience"", 'Required: ***Strong Natural Language Processing (NLP) experience***', 'Required: SQL (preferable in distributed environment, e.g. Greenplum, Apache Hawq).', 'Required: Experience in SAS (preferred), R or Python for complex data manipulation, statistical analysis, and machine learning.', 'Required: Experience with data visualization tools (e.g., Tableau, Bokeh, D3) or elastic stack (Kibana).', 'Experience with modern machine learning libraries, including Keras, TensorFlow, PyTorch, MXNet, or MADlib.', 'Experience using peer-collaboration tools, e.g., Confluence.', 'Experience using GIT or other version control systems.', 'Data Analysis', 'Data Cleansing', 'Data Engineering', 'Data Modeling', 'Python', 'SAS', 'SQL']",2020-08-08 18:56:41
Data Scientist,Kulicke and Soffa,3.8 out of 5,"Fort Washington, PA 19034","['Work with cross-functional teams to research, develop and deliver solutions for machine learning problems, from concept, to design and implementation', 'Develop data pipelines for data preprocessing, analysis and model development', 'Experience :', 'Experience with machine learning, including classification, clustering and outlier detection', 'Experience with machine learning for temporal data (time-series):Basic characteristics of time-series and theory of time-series analysisExperience with novelty and outlier detection for time-seriesExperience with classification of time-series: classical techniques and Neural networks', 'Tools:Fluent in the common python data science tool stack (Numpy, Scipy, Sklearn, Jupyter notebook/lab )Experience with developing visualizations using Python (Matplotlib, Plotly, Seaborn, Bokeh)Experience with standard industrial data analytics tools is a plus (JMP, Tableau)', 'Strong Computer Science background and programming experienceFluent with 1 or more programming language (Python, Java, ..)Experience with Object oriented design', 'Experience with databases (SQL).', 'Minimum bachelor’s degree in Computer Science or related program, Graduate degree preferred', 'Nice to have:Knowledge of statistical process control (SPC)Background in designing data storage solutionsExperience with No-SQL databases']",2020-08-08 18:56:41
Software Engineer/ BI Analyst,Kelly,3.9 out of 5,"Saline, MI 48176","['Electronic Systems 2 ES2 Department is looking for a passionate and highly-motivated Software Tools Development Engineer.', 'The primary responsibility of this role is to develop software to help streamline vehicle design tasks and improve development efficiency and quality.', 'Reporting to the Senior Engineering Manager of ES2 Group 4, the person in this role will support the ES2 department s objective to design and develop new vehicle electrical architecture efficiently and of high quality.', 'Working alongside ES2 design engineers in creating proprietary tools to improve the way we design vehicle electrical systems.', 'Benchmark existing tool-sets to analyze merits and demerits and make proposals for adopting and or modifying for use.', 'Maintain and update existing software through best-practice software testing and version control practices.', 'Extensive experience coding in Python.', 'Data manipulation using pandas or similar.', 'Experience in version control system GIT.', 'Proficient in Microsoft Excel.', '4-year degree or equivalent in Engineering, Computer Science, or related field.', 'Experience working in a collaborative, fast-paced environment.', 'Dashboard creation using bokeh, power BI or similar.', 'Experience in creating user interfaces.', 'Experience coding in VBA.']",2020-08-08 18:56:41
Data Scientist,Schrödinger,N/A,"Portland, OR","['Participate in drug discovery group projects, including research, curate, and prepare computational chemistry data sets; compile, analyze, and summarize results', 'Prepare and maintain drug discovery group chemical database content, including: process confidential data and information according to guidelines; manage master data, including creation, updates, and deletion; provide quality assurance of imported data, working with key internal or external advisors as necessary; and assess new or upgraded software', 'Exhibit strong organization skills, attention to detail, and time management skills', 'Participate in improving software and processes, including: early access usage and bug reporting; user storyboarding and defining feature requirements; and development of research and data curation web apps and scripts', 'Bachelor’s in Physics, Biology, Chemistry or a related discipline with 2+ years related experience', 'Successful completion of at least one year of organic chemistry coursework', 'Practical experience with analyzing chemistry journal articles', 'Strong programming skills in Python', 'Fluency with data analysis packages, e.g., Pandas, Numpy', 'Experience with data visualization packages, e.g. Plotly, Bokeh, Seaborn', 'Experience managing virtual environments', 'Basic computer skills, e.g., familiar with Excel, Word, Google Suite', 'Basic Unix/Linux command line skills', 'Basic git version control skills', 'Excellent technical communication skills', 'Ability to thrive in a fast-changing environment', 'Basic understanding of enzyme inhibition and receptor agonism/antagonism', 'Experience with any of the following: Gleaning, cleaning, and preparing data sets from online sources of scientific information especially DepMap, 1000 Genomes, Genomic Data Center, StringDB, NCBI PubMed, RCSB, UniProtKB, EMBL-EBI ChEMBL, SciFinder, Reaxys)', 'Computational chemistry, cheminformatics, or bioinformatics', 'Experience working with genetic data analysis, e.g. RNA-Seq', 'DevOps experience with any of the following: * Docker/Docker-Compose', 'Django', 'Querying RESTful APIs', 'Data modeling (e.g. Natural Language Processing)']",2020-08-08 18:56:41
Software Tools Development Engineer - 3353,Tata Technologies Inc.,3.7 out of 5,"Saline, MI 48176","['The primary responsibility of this role is to develop software to help streamline vehicle design tasks and improve development efficiency and quality.', ""Reporting to the Senior Engineering Manager of Electronic Systems Department Group 4, the person in this role will support the Electronic Systems department's objective to design and develop new vehicle electrical architecture efficiently and of high quality"", 'Working alongside Electronic Systems Department’s design engineers in creating proprietary tools to improve the way we design vehicle electrical systems.', 'Benchmark existing tool-sets to analyse merits and demerits and make proposals for adopting and or modifying for use.', 'Maintain and update existing software through best-practice software testing and version control practices', 'Extensive experience coding in Python.', 'Data manipulation using pandas or similar.', 'Experience in version control system GIT.', 'Proficient in Microsoft Excel.', 'Experience working in a collaborative, fast-paced environment.', 'Dashboard creation using bokeh, power BI or similar.', 'Experience in creating user interfaces.', 'Experience coding in VBA.']",2020-08-08 18:56:41
Data Scientist,"Attorney General, New York State",N/A,"New York, NY 10005","['Dental Insurance', 'Health Insurance', 'Retirement Plan', 'Vision Insurance', 'Monday to Friday', 'ag.ny.gov']",2020-08-08 18:56:41
